,EDA_mean,EDA_d1_mean,EDA_d2_mean,TASK,PID,BVP_mean,BVP_d1_mean,BVP_d2_mean,PD_mean,PD_median,PD_std_mean,duration,engage_score,section,if_engage,TURN,time_spent
0,0.1032825455758948,0.000180287823442,9.014391172100718e-05,Base1,PA1,0.5369084559725712,3.870214695415784e-05,1.935107347707892e-05,2.877980286762891,2.878403479903891,0.065025817277036,140.1,4.7,0,Yes,1,140.1
1,0.0185161544994922,7.839534577542217e-05,3.919767288771109e-05,Read1,PA1,0.536890553980546,2.235626922182077e-05,1.1178134610910387e-05,2.503462714545169,2.49165609156052,0.0957823976384173,197.8,1.8,1,No,2,337.9
2,0.0544092529777646,7.533449441903781e-05,3.7667247209518905e-05,Listen1,PA1,0.5368891986777695,5.428474057419799e-05,2.7142370287099e-05,2.580567916372862,2.566509657647847,0.1092771023351483,229.0,3.6,1,Yes,3,566.9
3,0.1362678561922905,0.0002076953228885,0.0001038476614442,Write1,PA1,0.5368865096201877,0.0008438696943898,0.0004219348471949,2.9638268919237944,2.954022438413769,0.116615794411304,209.7,5.0,1,Yes,4,776.5999999999999
4,0.2650662987789781,0.0001526543351417,7.632716757089195e-05,Speak1,PA1,0.5369172185888562,4.029109726874819e-05,2.014554863437409e-05,3.1613320169506154,3.172162984098299,0.1601622966253395,83.8,4.1,1,No,5,860.3999999999999
5,0.7043663631053501,0.0003047240297388,0.0001523620148694,Base2,PA1,0.5368975320842114,2.165327113040959e-05,1.0826635565204796e-05,2.9923639379355413,3.004513846272622,0.1225104717120934,140.2,3.7,0,No,6,1000.6
6,0.7300912108028124,0.0005057933030367,0.0002528966515183,Listen2,PA1,0.5368901265411437,0.0001800523809998,9.002619049990648e-05,2.611520973493394,2.6034889480294265,0.1051116550269875,251.8,2.0,2,No,7,1252.4
7,0.9227481933900616,0.0005755842491237,0.0002877921245618,Speak2,PA1,0.5368873504397105,5.597485596168789e-05,2.7987427980843946e-05,2.8051372897970186,2.801032557919781,0.1158887968463426,131.5,5.0,2,Yes,8,1383.9
8,0.3642906183370517,0.000433236934395,0.0002166184671975,Write2,PA1,0.536891566245554,0.0009315362253252,0.0004657681126626,2.9814525992808787,2.966425388933477,0.1630328868094234,298.2,5.0,2,No,9,1682.1
9,0.308360258869504,0.0001977068433765,9.885342168827452e-05,Read2,PA1,0.5368884641070764,2.2717406139279684e-05,1.1358703069639842e-05,2.8200530843472618,2.812571181254135,0.0721730354968759,169.6,2.0,2,Yes,10,1851.7
10,0.8682306497087718,0.0002553939036809,0.0001276969518404,Base1,PA2,0.5316616231132815,0.0003573745765499,0.0001786872882749,3.054283813609967,3.063621329283436,0.1366185709699034,135.0,3.3,0,No,1,135.0
11,0.8987744141054377,0.0002754440135392,0.0001377220067696,Listen1,PA2,0.5317075784114575,0.0002617474520082,0.0001308737260041,2.5321988521077285,2.523813423935513,0.1279133213415732,236.0,3.3,1,No,2,371.0
12,0.8799610172278994,0.0002485387900031,0.0001242693950015,Write1,PA2,0.5317245983459944,0.0014458940678245,0.0007229470339122,2.446386336454381,2.4420218321642992,0.0643281501820755,201.0,3.1,1,No,3,572.0
13,0.6945699988445952,0.0002354720998507,0.0001177360499253,Read1,PA2,0.5317595280236354,0.0002464534343134,0.0001232267171567,2.3580756933823914,2.3574792646077567,0.0599655356217179,163.0,3.3,1,No,4,735.0
14,0.7513678093185372,0.0009122404106021,0.000456120205301,Speak1,PA2,0.5318961894041367,0.0004713320256164,0.0002356660128082,2.663148637675269,2.623918934138091,0.1855122643081022,84.0,3.1,1,No,5,819.0
15,0.1786039074072294,8.786215670837743e-05,4.393107835418872e-05,Base2,PA2,0.5317885765968576,0.0004554032479625,0.0002277016239812,2.670407712737661,2.6707887561992734,0.1396094675210711,129.0,3.6,0,Yes,6,948.0
16,0.0548409057567414,3.627288070403229e-05,1.8136440352016147e-05,Write2,PA2,0.5317306047747455,0.0018504469287645,0.0009252234643822,2.4348944955274705,2.4273729320645967,0.0761365368324994,676.0,3.6,2,Yes,7,1624.0
17,0.0322732733465914,4.097288933649749e-05,2.0486444668248746e-05,Listen2,PA2,0.5316611523228968,0.0004625158755522,0.0002312579377761,2.65210298008205,2.647553802100324,0.0766195758765896,224.0,3.4,2,Yes,8,1848.0
18,0.2703463494869423,0.0004682853531765,0.0002341426765882,Speak2,PA2,0.5319229581531361,0.0004298566650296,0.0002149283325148,2.588745098182198,2.570466376970672,0.1373146537477214,159.0,3.6,2,Yes,9,2007.0
19,0.2995276352089175,0.0002323662460369,0.0001161831230184,Read2,PA2,0.5315213645515201,0.0003953177892317,0.0001976588946158,2.37296233096224,2.356371530399454,0.1277273112749798,125.0,3.4,2,Yes,10,2132.0
20,0.5503468117881395,0.0002404584307291,0.0001202292153645,Base1,PA3,0.5012198222440226,0.0009938354358437,0.0004969177179218,3.659774617393951,3.662441642074449,0.0931947852851116,138.5,2.4,0,Yes,1,138.5
21,0.5176932523811565,0.0003314767959001,0.00016573839795,Listen1,PA3,0.5012043212055964,3.889156962050778e-05,1.944578481025389e-05,3.2643234912761,3.2613698360861285,0.0713753043314923,222.6,2.1,1,Yes,2,361.1
22,0.6381042676939562,0.001248957896971,0.0006244789484855,Speak1,PA3,0.5012391691781717,0.0005872194989002,0.0002936097494501,3.2302882298648723,3.226882443274228,0.1397220024762506,54.4,2.6,1,No,3,415.5
23,0.5229295325321444,0.0008592885688375,0.0004296442844187,Write1,PA3,0.5011725637473546,0.0001439357230509,7.196786152545442e-05,3.5490152857487147,3.530332858937035,0.104150421187148,94.7,3.3,1,No,4,510.2
